Category,All-Time Highs[2],Milestone[3](closing),Date of Record (closing)[3]
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment
ADBE,Adobe Inc.,Information Technology,Application Software
AMD,Advanced Micro Devices,Information Technology,Semiconductors
ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals
ALGN,Align Technology,Health Care,Health Care Supplies
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
AMZN,Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail
AEP,American Electric Power,Utilities,Electric Utilities
AMGN,Amgen,Health Care,Biotechnology
ADI,Analog Devices,Information Technology,Semiconductors
ANSS,Ansys,Information Technology,Application Software
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
AMAT,"Applied Materials, Inc.",Information Technology,Semiconductor Equipment
ASML,ASML Holding,Information Technology,Semiconductor Equipment
TEAM,Atlassian,Information Technology,Application Software
ADSK,Autodesk,Information Technology,Application Software
ADP,"Automatic Data Processing, Inc.",Information Technology,Data Processing & Outsourced Services
BIDU,Baidu,Communication Services,Interactive Media & Services
BIIB,Biogen,Health Care,Biotechnology
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail
AVGO,Broadcom Inc.,Information Technology,Semiconductors
CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW,Information Technology,Technology Distributors
CERN,Cerner Corporation,Health Care,Health Care Technology
CHTR,"Charter Communications, Inc.",Communication Services,Cable & Satellite
CHKP,Check Point Software Technologies Ltd.,Information Technology,Application Software
CTAS,Cintas Corporation,Industrials,Diversified Support Services
CSCO,Cisco Systems,Information Technology,Communications Equipment
CTSH,Cognizant Technology Solutions Corporation,Information Technology,IT Consulting & Other Services
CMCSA,Comcast Corporation,Communication Services,Cable & Satellite
CPRT,Copart,Industrials,Diversified Support Services
COST,Costco Wholesale Corporation,Consumer Staples,Hypermarkets & Super Centers
CSX,CSX Corporation,Industrials,Railroads
DXCM,DexCom,Health Care,Health Care Equipment
DOCU,DocuSign,Information Technology,Application Software
DLTR,"Dollar Tree, Inc.",Consumer Discretionary,General Merchandise Stores
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail
EA,Electronic Arts,Communication Services,Interactive Home Entertainment
EXC,Exelon Corporation,Utilities,Multi-Utilities
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services
FAST,Fastenal Company,Industrials,Building Products
FISV,"Fiserv, Inc.",Information Technology,Data Processing & Outsourced Services
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment
GILD,"Gilead Sciences, Inc.",Health Care,Biotechnology
IDXX,Idexx Laboratories,Health Care,Health Care Equipment
ILMN,"Illumina, Inc.",Health Care,Life Sciences Tools & Services
INCY,Incyte Corporation,Health Care,Biotechnology
INTC,Intel Corporation,Information Technology,Semiconductors
INTU,Intuit,Information Technology,Application Software
ISRG,Intuitive Surgical,Health Care,Health Care Equipment
JD,JD.com,Consumer Discretionary,Internet & Direct Marketing Retail
KDP,Keurig Dr Pepper Inc.,Consumer Staples,Soft Drinks
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats
LRCX,Lam Research,Information Technology,Semiconductor Equipment
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MRVL,Marvell Technology Group,Information Technology,Application Software
MTCH,Match Group,Communication Services,Interactive Media & Services
MXIM,Maxim Integrated Products,Information Technology,Semiconductors
MELI,MercadoLibre,Consumer Discretionary,Internet & Direct Marketing Retail
MCHP,Microchip Technology,Information Technology,Semiconductors
MU,"Micron Technology, Inc.",Information Technology,Semiconductors
MSFT,Microsoft Corporation,Information Technology,Systems Software
MRNA,Moderna,Health Care,Biotechnology
